name,last_name,movie_titles
Liam,Neeson,Schindlers List
Anthony,Hopkins,The Silence of the Lambs
Jodie,Foster,The Silence of the Lambs
Ray,Liotta,GoodFellas
Robert,De Niro,GoodFellas|Heat
Al,Pacino,Scarface|Heat
Harrison,Ford,Blade Runner|Blade Runner 2049
Russell,Crowe,Gladiator
Joaquin,Phoenix,Gladiator
Guy,Pearce,Memento
Michael J.,Fox,Back to the Future
Christopher,Lloyd,Back to the Future
Leonardo,DiCaprio,Inception|The Departed|The Wolf of Wall Street
Brad,Pitt,Inglourious Basterds
Matt,Damon,The Departed
Matthew,McConaughey,Interstellar
Tom,Hardy,Mad Max Fury Road
Ryan,Gosling,Blade Runner 2049
Jamie,Foxx,Django Unchained
Jesse,Eisenberg,The Social Network
